가게명,대분류,중분류,소분류,mean_score,주소,Latitude,Longitude
동복리 해녀촌,식당,한식,"회국수, 성게국수",3.4,제주도 제주시 구좌읍 동복리 1506,33.553627,126.7104349
면뽑는선생 만두빚는아내,식당,한식,"만두, 한우수육",3.4,제주특별자치도 제주시 한림읍 협재리 1398 아길라호텔 1층,33.399925,126.2495196
쌍둥이횟집,식당,일식,"횟집, 고등어회",3.4,제주도 서귀포시 서귀동 496-18,33.246589,126.5629979
김희선 몸국,식당,한식,"몸국, 고사리 육개장",3.4,제주특별자치도 제주시 용담3동 1174-1,33.5187327,126.4954179
봄날 카페,카페,,,3.4,제주특별자치도 제주시 애월읍 애월리 2540,33.4624594,126.3095913
바다속고등어쌈밥,식당,한식,"고등어쌈밥, 고등어 조림",3.3,제주특별자치도 제주시 애월읍 하귀리 1548,33.4863013,126.4087743
밥깡패,식당,양식,"커리, 파스타",3.3,제주특별자치도 제주시 한림읍 한림리 1534-6,33.4101259,126.263442
오설록 티 뮤지엄,카페,,,3.2,제주도 서귀포시 안덕면 서광리 1235-3,33.305789,126.2894477
고집돌우럭 제주공항점,식당,한식,"우럭조림, 갈치조림",2.3,제주특별자치도 제주시 건입동 1319-124,33.5163432,126.5281752
제주김만복,식당,한식,"전복김밥, 오징어무침",3.2,제주특별자치도 서귀포시 강정동 707-2,33.232737,126.506316
흑돈가 제주본점,식당,한식,"흑돼지, 멜젓",3.2,제주도 제주시 노형동 1509,33.4800314,126.4735975
아라파파,카페,,,3.2,제주도 제주시 연동 1498-2,33.4787871,126.4903725
국수바다,식당,한식,"성게국수, 국수",3.2,제주특별자치도 서귀포시 색달동 2130,33.2586303,126.4060656
제주김만복 본점,식당,한식,"전복김밥, 오징어무침",3.2,제주특별자치도 제주시 오라3동 2250-1,33.4970489,126.5087309
수두리보말칼국수,식당,한식,톳보말칼국수,3.2,제주특별자치도 서귀포시 중문동 2056-2,33.2515572,126.4250625
미영이네 식당,식당,한식,"고등어탕, 고등어회",3.2,제주 서귀포시 대정읍 하모리 770-29,33.2176507,126.2499045
운정이네,식당,한식,"오분자기돌솥밥, 전복뚝배기",3.2,제주특별자치도 서귀포시 중문동 1239-5,33.2635619,126.4378075
하이엔드 제주,카페,,,3.2,제주특별자치도 제주시 애월읍 애월리 2550-2,33.4637734,126.3092905
놀맨,식당,한식,"문어라면, 해물라면",3.2,제주특별자치도 제주시 애월읍 애월리 2530,33.4624642,126.3102678
